Feature,Priority,Engineered
Return_10D_Pct,160,True
Return_20D_Pct,160,True
Return_3D_Pct,160,True
Return_5D_Pct,160,True
Return_60D_Pct,160,True
ATR_Pct,150,True
BB_Position,150,True
BB_Width_Pct,150,True
Candle_Body_Pct,150,True
Daily_Range_Pct,150,True
Gap_From_Prev_Close_Pct,150,True
MACD_Pct,150,True
Close_Location_In_Daily_Range,130,True
Volume_Ratio,120,False
Close,100,False
Daily_Return,100,False
RSI,100,False
Volatility,100,False
ATR_Pct_Relative_60D,50,True
DayOfWeek_Cos,50,True
DayOfWeek_Sin,50,True
Distance_From_20D_Low_Pct,50,True
Distance_From_60D_Low_Pct,50,True
Drawdown_From_20D_High_Pct,50,True
Drawdown_From_60D_High_Pct,50,True
High_ATR_Flag,50,True
High_Volatility_Flag,50,True
MACD_Histogram_Pct,50,True
Month_Cos,50,True
Month_Sin,50,True
Nonzero_Volume_Ratio_20D,50,True
Positive_Return_Ratio_10D,50,True
Positive_Return_Ratio_20D,50,True
Positive_Return_Ratio_5D,50,True
Positive_Return_Ratio_60D,50,True
Price_Position_20D,50,True
Price_Position_60D,50,True
Price_vs_SMA_14_Pct,50,True
Price_vs_SMA_200_Pct,50,True
Price_vs_SMA_30_Pct,50,True
Price_vs_SMA_7_Pct,50,True
RSI_Overbought_Flag,50,True
RSI_Oversold_Flag,50,True
Return_Std_10D_Pct,50,True
Return_Std_20D_Pct,50,True
Return_Std_5D_Pct,50,True
Return_Std_60D_Pct,50,True
SMA_30_200_Spread_Pct,50,True
SMA_7_30_Spread_Pct,50,True
Strong_Negative_Momentum_Flag,50,True
Strong_Positive_Momentum_Flag,50,True
Trend_Down_Flag,50,True
Trend_Slope_10D_PctPerDay,50,True
Trend_Slope_20D_PctPerDay,50,True
Trend_Slope_60D_PctPerDay,50,True
Trend_Up_Flag,50,True
Zero_Volume_Flag,50,True
Log1p_Volume,30,True
Log1p_Volume_Change_1D,30,True
Momentum_Acceleration_10_60,30,True
Momentum_Acceleration_5_20,30,True
Volatility_Relative_60D,30,True
Volume_vs_Median20,30,True
